field	text_field
AAP
AAPN
AAPO
AAPS
AA_CN
AA_DE
AA_EN
AA_ES
AA_FR
AA_JP
AA_KR
AB_CN	text
AB_DE	text
AB_EN	text
AB_ES	text
AB_FR	text
AB_JP	text
AB_KR	text
AC
ACC
ACN
AD
AEX
AGA_CN
AGA_DE
AGA_EN
AGA_ES
AGA_FR
AGA_JP
AGA_KR
AG_CN
AG_DE
AG_EN
AG_ES
AG_FR
AG_JP
AG_KR
ALD
ANW
ANWK
ANZ_CN
ANZ_DE
ANZ_EN
ANZ_ES
ANZ_FR
ANZ_JP
ANZ_KR
AN_B
AN_D
AN_DA
AN_EPO
AN_L
AN_O
AN_T
AOF_CN
AOF_DE
AOF_EN
AOF_ES
AOF_FR
AOF_JP
AOF_KR
AO_CN
AO_DE
AO_EN
AO_ES
AO_FR
AO_JP
AO_KR
APA_CN
APA_DE
APA_EN
APA_ES
APA_FR
APA_JP
APA_KR
APCN
APFI_CN
APFI_DE
APFI_EN
APFI_ES
APFI_FR
APFI_JP
APFI_KR
APFO_CN
APFO_DE
APFO_EN
APFO_ES
APFO_FR
APFO_JP
APFO_KR
API_CN
API_DE
API_EN
API_ES
API_FR
API_JP
API_KR
APN_CN
APN_DE
APN_EN
APN_ES
APN_FR
APN_JP
APN_KR
APS_CN
APS_DE
APS_EN
APS_ES
APS_FR
APS_JP
APS_KR
APT
AP_CN
AP_DE
AP_EN
AP_ES
AP_FR
AP_JP
AP_KR
AS_CN
AS_DE
AS_EN
AS_ES
AS_FR
AS_JP
AS_KR
AY
BCN
BCP
BON
BOV
CAA_CN
CAA_DE
CAA_EN
CAA_ES
CAA_FR
CAA_JP
CAA_KR
CAN_CN
CAN_DE
CAN_EN
CAN_ES
CAN_FR
CAN_JP
CAN_KR
CAS_CN
CAS_DE
CAS_EN
CAS_ES
CAS_FR
CAS_JP
CAS_KR
CA_CN
CA_DE
CA_EN
CA_ES
CA_FR
CA_JP
CA_KR
CF
CFID
CLCN
CLH
CL_CN	text
CL_DE	text
CL_EN	text
CL_ES	text
CL_FR	text
CL_JP	text
CL_KR	text
CPC
CPC12
CPC4
CPC8
CPCD
CPCO
CPCP
CPCV
CRA_CN
CRA_DE
CRA_EN
CRA_ES
CRA_FR
CRA_JP
CRA_KR
CRW
CR_CN
CR_DE
CR_EN
CR_ES
CR_FR
CR_JP
CR_KR
DC
DCD
DCL_CN
DCL_DE
DCL_EN
DCL_ES
DCL_FR
DCL_JP
DCL_KR
DELETE
DESC_CN	text
DESC_DE	text
DESC_EN	text
DESC_ES	text
DESC_FR	text
DESC_JP	text
DESC_KR	text
DF
DFID
DSEP
DSEP_CST
DSEP_EST
DSEP_PST
DSEP_VST
DSPCT
DSPCT_AOST
DSPCT_NDSCN
DSPCT_NT
DSPCT_RGCN
DSPCT_RGNCN
DST
ECL
ECLD
EF
EFID
ELS
EPRD
EPRDC
EPRY
EX
FCL_CN
FCL_DE
FCL_EN
FCL_ES
FCL_FR
FCL_JP
FCL_KR
FCP
GOI
ICL_CN
ICL_DE
ICL_EN
ICL_ES
ICL_FR
ICL_JP
ICL_KR
INA_CN
INA_DE
INA_EN
INA_ES
INA_FR
INA_JP
INA_KR
INCN
INF_CN
INF_DE
INF_EN
INF_ES
INF_FR
INF_JP
INF_KR
IN_CN
IN_DE
IN_EN
IN_ES
IN_FR
IN_JP
IN_KR
IPC
IPC12
IPC4
IPC8
IPCD
IPCM
IPCRV
JCL
LCF
LCM
LST
MF
MFID
MRW
PCL
PCLD
PCTAD
PCTN_B
PCTN_D
PCTN_DA
PCTN_EPO
PCTN_L
PCTN_O
PCTN_T
PCTPC
PCTPD
PCT_B
PCT_D
PCT_DA
PCT_EPO
PCT_L
PCT_O
PCT_T
PD
PEX
PKC
PL
PNC
PNW
PNWK
PN_B
PN_D
PN_DA
PN_EPO
PN_L
PN_O
PN_T
PRC
PRD
PRN_B
PRN_D
PRN_DA
PRN_EPO
PRN_L
PRN_O
PRN_T
PRY
PT
PTA
PTS
PVN
PY
RD
SC
SF
SFID
TD
TI_CN	text
TI_DE	text
TI_EN	text
TI_ES	text
TI_FR	text
TI_JP	text
TI_KR	text
UD
USD
USF
USFD
USM
USMS
